text,date
Booking.com 최대 12% 캐시백,2019.12.09 ~ 2020.02.09
"새해, 빛나는 유럽 쇼핑",2020.01.18 ~ 2020.02.09
"18만원 청구할인 혜택 스마트폰 구입, 스마트 하게!",2020.01.01 ~ 2020.01.31
2020년 무신사 할인혜택,2020.01.20 ~ 2020.01.31
2020년에도 외국어가 안되면 역시 시원스쿨!,2020.01.01 ~ 2020.01.31
Happy New Year 2020! 세뱃돈을 쏩니다!,2020.01.02 ~ 2020.01.31
KB국민 롯데월드 제휴카드 종합이용권 할인 이벤트,2020.01.01 ~ 2020.01.31
KB국민 마스터카드 해외이용수수료 전액 포인트리 지급,2020.01.01 ~ 2020.01.31
KB국민 비자카드 해외이용수수료 전액 포인트리 지급,2020.01.01 ~ 2020.01.31
KB국민 유니온페이카드 해외이용수수료 전액 포인트리 지급,2020.01.01 ~ 2020.01.31
KB국민기업카드 APP 출시기념 이벤트!,2019.12.23 ~ 2020.01.31
"KB국민카드 간편추천 추천하면 나는 5만원, 친구는 연회비 캐시백",2020.01.01 ~ 2020.01.31
PUSH 동의하세요! 최대 30만원 캐시백!,2019.01.06 ~ 2020.01.31
[월간 KB체크] 1월 '새 출발',2020.01.01 ~ 2020.01.31
"가온플래티늄, BeV Ⅲ, BeV V 카드 온라인 발급 회원 연회비 최대 5만원 캐시백",2020.01.01 ~ 2020.01.31
개인사업자 전용 카드 연회비 100% 캐시백,2020.01.01 ~ 2020.01.31
도심 온천스파 1300 OPEN 웅진플레이도시 만원의 행복!,2019.12.21 ~ 2020.01.31
라이프샵 여행 해외호텔 최대 10% 할인,2020.01.02 ~ 2020.01.31
라이프샵 컬처 화제의 뮤지컬/전시 더블할인 특가,2020.01.01 ~ 2020.01.31
쇼핑 맛집 브랜디 새해 할인!,2020.01.23 ~ 2020.01.31
심심하면 wavve~ wavve하면 캐시백!,2020.01.01 ~ 2020.01.31
아고다! Flash Sale! 최대 12% 할인!,2020.01.02 ~ 2020.01.31
암웨이 엣모스피어 스카이 공기청정기 10개월 무이자 할부,2019.12.19 ~ 2020.01.31
에버랜드 제휴카드 2020 할인 특가!,2020.01.01 ~ 2020.01.31
"온라인 신규 발급 회원, 연회비 100% 캐시백",2020.01.01 ~ 2020.01.31
왓챠플레이 프리미엄 이용권 출시! 3개월간 월 5천원 할인,2019.12.23 ~ 2020.01.31
체크카드 온라인 신규발급 트리플 혜택!,2020.01.02 ~ 2020.01.31
클릭! 쉽고 빠르고 편리한 KB국민 신용대출!,2020.01.01 ~ 2020.01.31
탄탄대로 오토카드 5만원 캐시백,2020.01.01 ~ 2020.01.31
할인 받고 경품 받는 라이프샵 혜택 여행!,2020.01.02 ~ 2020.01.31
항공권 예약 라이프샵 Easy~ 국제선 항공권 최대 7% 할인,2020.01.06 ~ 2020.01.31
해외렌터카 렌탈카스닷컴 10% 할인,2020.01.02 ~ 2020.01.31
해외에서도 5~2개월 무이자 할부,2020.01.01 ~ 2020.01.31
해외여행 필수품 포켓와이파이 최대 3천원 즉시할인!,2020.01.01 ~ 2020.01.31
해외이용 시 포인트리 최대 4만점!,2020.01.01 ~ 2020.01.31
해외직구 X 비타트라 즉시할인 * 추천상품 특가!,2019.12.30 ~ 2020.01.31
따뜻한 명절 당신께 만큼은 정관장 청구할인,2020.01.03 ~ 2020.01.29
새해 할인쇼핑도 지그재그에서!,2020.01.10 ~ 2020.01.23
쿠팡 2020 설 선물세트 2만원 즉시할인!,2020.01.15 ~ 2020.01.21
대한민국 교육박람회 무료 입장,2020.01.16 ~ 2020.01.18
"커피, 편의점도 Easy on으로 OK~ KB국민 Easy on카드 상품권 혜택!",2019.12.02 ~ 2020.01.13
달콤한 초콜릿 축제! 살롱 뒤 쇼콜라,2020.01.10 ~ 2020.01.12
KB국민 앱카드 교통서비스 런칭 이벤트!,2019.12.09 ~ 2020.01.08
12월의 선물! 해외이용 캐시백 이벤트,2019.12.01 ~ 2019.12.31
"18만원 청구할인 혜택 스마트폰 구입, 스마트 하게!",2019.12.01 ~ 2019.12.31
"3만장 한정, 힙트로 (Hip-Retro)한 레터링 체크카드 출시 이벤트",2019.11.12 ~ 2019.12.31
"5~2, 10개월 무이자할부",2019.10.07 ~ 2019.12.31
Amazon.com X KB국민카드 Adieu 2019 이벤트,2019.12.20 ~ 2019.12.31
BeV Ⅸ 카드 회원 아시아나항공 비즈니스 좌석 할인,2019.09.23 ~ 2019.12.31
"KB국민 Liiv M 카드 이용하고, 캐시백 받고",2019.11.04 ~ 2019.12.31
KB국민 국방(충성)멤버쉽카드 연말연시 최대 50만원 캐시백!,2019.12.01 ~ 2019.12.31
